ID;CLASS;DEPTH (M);RES A10;RES A20;RES A30;RES A60;RES A 90;SONIC P;SONIC S;GAMMA RAY;CALIPER;NEUTRON POROSITY;DENSITY (G/CM3);OIL SATURATION;calcite;dolomite ;quartz;k-feldspar;plagioclase;"illite ""type"" (1)";kaolinite;chlorite;pyrite
D66;CARBONATE;1032.5;0.95929;0.70298;0.65095;0.61575;0.61731;171.32114;492.60373;98.434;15.49174;0.53845;2.07896;0.10;98.1;1.6;0.3;0.0;0.0;0.0;0.0;0.0;0.0
D67;CARBONATE;1033;0.96258;0.70542;0.65413;0.61825;0.6195;170.56239;486.25052;99.58521;15.37092;0.53351;2.09024;0.10;98.3;1.5;0.2;0.0;0.0;0.0;0.0;0.0;0.0
D68;CARBONATE;1033.5;0.98317;0.71666;0.66259;0.62638;0.62538;170.08794;481.31693;95.9642;14.89088;0.51155;2.10319;0.11;0.7;92.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0
D69;CARBONATE;1034;1.01164;0.73239;0.67613;0.63825;0.63851;169.68842;477.7562;94.34095;15.72475;0.49528;2.10545;0.14;98.6;1.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0
D70;CARBONATE;1034.5;1.01733;0.73659;0.67987;0.64119;0.64153;169.32164;472.13507;94.61886;15.78948;0.52064;2.0993;0.14;97.8;1.9;0.3;0.0;0.0;0.0;0.0;0.0;0.0
D71;CARBONATE;1035;0.99469;0.72538;0.67031;0.63346;0.63439;169.20642;469.48099;93.66183;15.79748;0.55927;2.09037;0.14;66.7;30.7;0.3;0.0;0.0;0.0;0.0;0.0;0.0
D72;CARBONATE;1035.5;0.98304;0.72128;0.66835;0.63212;0.6339;169.65331;474.71927;94.38709;15.83694;0.60656;2.08808;0.13;95.4;4.3;0.3;0.0;0.0;0.0;0.0;0.0;0.0
D73;CARBONATE;1036;0.98115;0.72204;0.66893;0.63186;0.63474;170.44643;482.24097;95.74145;15.76676;0.59948;2.08741;0.07;98.4;1.4;0.2;0.0;0.0;0.0;0.0;0.0;0.0
D74;CARBONATE;1036.5;0.99506;0.72937;0.67534;0.63967;0.64334;171.15224;487.21942;98.93281;15.72575;0.60483;2.08494;0.08;77.4;21.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0
D75;CARBONATE;1037;1.00823;0.73714;0.68231;0.64497;0.64793;171.77177;491.14169;101.05285;15.7501;0.56847;2.07873;0.06;71.5;26.5;0.2;0.0;0.0;0.0;0.0;0.0;0.0
D76;CARBONATE;1037.5;1.01598;0.74137;0.68732;0.64912;0.65252;172.4276;497.49597;101.65965;15.72791;0.56257;2.07428;0.07;94.4;5.4;0.2;0.0;0.0;0.0;0.0;0.0;0.0
D77;CARBONATE;1038;1.01213;0.74071;0.68821;0.65182;0.65418;172.74461;505.18616;98.5123;15.71531;0.53501;2.07334;0.07;31.1;65.9;0.2;0.0;0.0;0.0;0.0;0.0;0.0
D78;CARBONATE;1038.5;1.02012;0.74542;0.68877;0.65343;0.65603;173.33409;507.43893;97.76494;15.78854;0.55487;2.08434;0.10;96.8;3.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0
D79;CARBONATE;1039;1.05024;0.75534;0.69856;0.66269;0.66606;173.67247;504.92871;97.83012;15.75861;0.59945;2.08979;0.10;93.5;6.3;0.2;0.0;0.0;0.0;0.0;0.0;0.0
D80;CARBONATE;1039.5;1.05914;0.76474;0.70763;0.67255;0.67492;173.64603;502.09326;98.68591;15.75601;0.63135;2.08833;0.07;94.2;5.6;0.2;0.0;0.0;0.0;0.0;0.0;0.0
D81;CARBONATE;1040;1.04807;0.75967;0.70312;0.66497;0.67039;172.87695;497.26831;95.83759;15.7294;0.61016;2.07952;0.03;94.0;5.8;0.2;0.0;0.0;0.0;0.0;0.0;0.0
D82;CARBONATE;1040.5;1.03627;0.75484;0.69836;0.6622;0.66968;170.90884;488.70984;91.21408;15.67148;0.55596;2.08242;0.08;97.0;2.7;0.3;0.0;0.0;0.0;0.0;0.0;0.0
D83;CARBONATE;1041;1.02694;0.74491;0.69009;0.65413;0.6605;169.5986;481.37744;85.89373;15.64032;0.54039;2.0902;0.16;83.5;16.3;0.2;0.0;0.0;0.0;0.0;0.0;0.0
D84;CARBONATE;1041.5;1.01991;0.73435;0.68203;0.64643;0.65033;169.40244;480.05643;85.16148;15.61605;0.54604;2.10118;0.19;83.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
D85;CARBONATE;1042;1.0096;0.72437;0.67428;0.63831;0.63943;169.43073;483.82855;86.5696;15.64584;0.53422;2.10576;0.18;78.2;21.5;0.3;0.0;0.0;0.0;0.0;0.0;0.0
D86;CARBONATE;1042.5;1.00167;0.71501;0.66553;0.63059;0.62862;169.35674;488.31067;91.73529;15.66909;0.51362;2.10959;0.19;89.7;10.1;0.2;0.0;0.0;0.0;0.0;0.0;0.0
D87;CARBONATE;1043;0.99705;0.71088;0.66054;0.62788;0.61952;168.60257;490.26074;91.30505;15.61982;0.50009;2.11035;0.17;95.2;4.6;0.2;0.0;0.0;0.0;0.0;0.0;0.0
D88;CARBONATE;1043.5;0.98868;0.7087;0.65677;0.62237;0.61388;167.82103;491.55249;91.86453;15.62741;0.5362;2.11357;0.18;88.7;9.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0
